"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","AO","21850","23800","Legal Support Officer","10.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","EO","25290","30000","Legal Officer","12.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G6","61200","75200","Senior Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","G7","48400","61000","Legal Adviser","7.61","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","HEO","29550","35000","Legal Manager","10.50","Law"
"Attorney General's Office","Government Legal Department","Bona Vacantia","3","SEO","36250","43000","Legal Manager","5.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Advisers","38","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Advisers - General Policy & National Security","39","G6","61200","75200","Senior Legal Adviser","4.41","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Advisers - General Policy & National Security","39","G7","48400","61000","Legal Adviser","3.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Constitutional Law","40","G6","61200","75200","Senior Legal Adviser","3.63","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Constitutional Law","40","G7","48400","61000","Legal Adviser","2.81","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - EU and International","41","G6","61200","75200","Senior Legal Adviser","3.80","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - EU and International","41","G7","48400","61000","Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - EU and International","41","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Wales Office & International Law Legal Advisers","150","G6","61200","75200","Senior Legal Adviser","1.89","Law"
"Attorney General's Office","Government Legal Department","Cabinet Office Legal Legal Advisers - Wales Office & International Law Legal Advisers","150","G7","48400","61000","Legal Adviser","0.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","EO","25290","30000","Operational Officer","3.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","G6","61200","75200","Operational Team Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","G7","48400","61000","Operational Team Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","HEO","29550","35000","Operational Manager","1.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group - Business Management Team","49","SEO","36250","43000","Operational Manager","2.00","Operational Delivery"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","G6","61200","75200","Senior Legal Adviser","4.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","G7","48400","61000","Legal Adviser","10.90","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team A - Commercial Litigation","50","LT","28280","32320","Legal Trainee","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","G6","61200","75200","Senior Legal Adviser","4.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team B - Transactional, CO, CCS, DCMS, HMT","51","G7","48400","61000","Legal Adviser","7.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","G6","61200","75200","Senior Legal Adviser","8.01","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","G7","48400","61000","Legal Adviser","9.40","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team C - DHSC","52","LT","28280","32320","Legal Trainee","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","G6","61200","75200","Senior Legal Adviser","2.80","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","G7","48400","61000","Legal Adviser","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","LO","42420","42420","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team D - HO, DCLG","53","PS","22560","24260","Legal Support Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G6","61200","75200","Senior Legal Adviser","6.60","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","G7","48400","61000","Legal Adviser","7.81","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","HEO","29550","35000","Legal Manager","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team E - DEFRA, DFE","54","LO","42420","42420","Legal Manager","2.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","EO","25290","30000","Legal Officer","1.00","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G6","61200","75200","Senior Legal Adviser","9.90","Law"
"Attorney General's Office","Government Legal Department","Commercial Law Group Team F - MOJ","55","G7","48400","61000","Legal Adviser","8.30","Law"
